01:44:36_25-01-2025: Training starting...
01:44:37_25-01-2025: New best reward 16.0 (+nan%) at episode 0, saving model...
01:44:37_25-01-2025: New best reward 31.0 (+93.8%) at episode 1, saving model...
01:44:37_25-01-2025: New best reward 38.0 (+22.6%) at episode 7, saving model...
01:44:37_25-01-2025: New best reward 62.0 (+63.2%) at episode 10, saving model...
01:44:37_25-01-2025: New best reward 66.0 (+6.5%) at episode 35, saving model...
01:44:37_25-01-2025: New best reward 67.0 (+1.5%) at episode 115, saving model...
01:44:38_25-01-2025: New best reward 87.0 (+29.9%) at episode 286, saving model...
01:44:42_25-01-2025: New best reward 114.0 (+31.0%) at episode 1544, saving model...
01:44:42_25-01-2025: New best reward 123.0 (+7.9%) at episode 1548, saving model...
01:44:44_25-01-2025: New best reward 158.0 (+28.5%) at episode 1601, saving model...
01:44:44_25-01-2025: New best reward 189.0 (+19.6%) at episode 1614, saving model...
01:44:47_25-01-2025: New best reward 272.0 (+43.9%) at episode 2196, saving model...
01:44:48_25-01-2025: New best reward 344.0 (+26.5%) at episode 2205, saving model...
01:44:49_25-01-2025: New best reward 457.0 (+32.8%) at episode 2249, saving model...
01:45:56_25-01-2025: New best reward 642.0 (+40.5%) at episode 10672, saving model...
01:45:56_25-01-2025: New best reward 1136.0 (+76.9%) at episode 10674, saving model...
01:45:57_25-01-2025: New best reward 1378.0 (+21.3%) at episode 10682, saving model...
01:46:03_25-01-2025: New best reward 1886.0 (+36.9%) at episode 10805, saving model...
01:46:05_25-01-2025: New best reward 3842.0 (+103.7%) at episode 10887, saving model...
01:48:41_25-01-2025: New best reward 4997.0 (+30.1%) at episode 19407, saving model...
01:48:45_25-01-2025: New best reward 5383.0 (+7.7%) at episode 19440, saving model...
01:48:50_25-01-2025: New best reward 6323.0 (+17.5%) at episode 19473, saving model...
01:48:52_25-01-2025: New best reward 9232.0 (+46.0%) at episode 19476, saving model...
01:48:53_25-01-2025: New best reward 9463.0 (+2.5%) at episode 19478, saving model...
01:48:55_25-01-2025: New best reward 12597.0 (+33.1%) at episode 19481, saving model...
01:49:03_25-01-2025: New best reward 53160.0 (+322.0%) at episode 19484, saving model...
01:49:17_25-01-2025: New best reward 81305.0 (+52.9%) at episode 19486, saving model...
01:49:31_25-01-2025: New best reward 100000.0 (+23.0%) at episode 19487, saving model...
