09:42:43_28-01-2025: Training starting...
09:42:44_28-01-2025: New best reward 19.0 (+nan%) at episode 0, saving model...
09:42:44_28-01-2025: New best reward 25.0 (+31.6%) at episode 5, saving model...
09:42:44_28-01-2025: New best reward 30.0 (+20.0%) at episode 12, saving model...
09:42:44_28-01-2025: New best reward 34.0 (+13.3%) at episode 20, saving model...
09:42:44_28-01-2025: New best reward 58.0 (+70.6%) at episode 33, saving model...
09:42:45_28-01-2025: New best reward 69.0 (+19.0%) at episode 201, saving model...
09:42:45_28-01-2025: New best reward 71.0 (+2.9%) at episode 336, saving model...
09:42:46_28-01-2025: New best reward 74.0 (+4.2%) at episode 463, saving model...
09:42:46_28-01-2025: New best reward 96.0 (+29.7%) at episode 474, saving model...
09:42:47_28-01-2025: New best reward 97.0 (+1.0%) at episode 628, saving model...
09:42:48_28-01-2025: New best reward 123.0 (+26.8%) at episode 819, saving model...
09:42:50_28-01-2025: New best reward 138.0 (+12.2%) at episode 1032, saving model...
09:42:50_28-01-2025: New best reward 145.0 (+5.1%) at episode 1057, saving model...
09:42:51_28-01-2025: New best reward 211.0 (+45.5%) at episode 1185, saving model...
09:42:53_28-01-2025: New best reward 219.0 (+3.8%) at episode 1332, saving model...
09:42:55_28-01-2025: New best reward 275.0 (+25.6%) at episode 1472, saving model...
09:42:58_28-01-2025: New best reward 351.0 (+27.6%) at episode 1609, saving model...
09:42:58_28-01-2025: New best reward 414.0 (+17.9%) at episode 1618, saving model...
09:43:03_28-01-2025: New best reward 419.0 (+1.2%) at episode 1813, saving model...
09:43:08_28-01-2025: New best reward 864.0 (+106.2%) at episode 1942, saving model...
09:44:09_28-01-2025: New best reward 946.0 (+9.5%) at episode 3117, saving model...
09:44:09_28-01-2025: New best reward 949.0 (+0.3%) at episode 3122, saving model...
09:44:10_28-01-2025: New best reward 1202.0 (+26.7%) at episode 3139, saving model...
09:44:20_28-01-2025: New best reward 1329.0 (+10.6%) at episode 3245, saving model...
09:44:32_28-01-2025: New best reward 1388.0 (+4.4%) at episode 3382, saving model...
09:45:28_28-01-2025: New best reward 1695.0 (+22.1%) at episode 3944, saving model...
09:47:00_28-01-2025: New best reward 1723.0 (+1.7%) at episode 4732, saving model...
09:48:12_28-01-2025: New best reward 1801.0 (+4.5%) at episode 5221, saving model...
09:48:13_28-01-2025: New best reward 3371.0 (+87.2%) at episode 5227, saving model...
09:49:50_28-01-2025: New best reward 3560.0 (+5.6%) at episode 5827, saving model...
09:50:34_28-01-2025: New best reward 100000.0 (+2709.0%) at episode 5942, saving model...
