09:10:20_28-01-2025: Training starting...
09:10:22_28-01-2025: New best reward 18.0 (+nan%) at episode 0, saving model...
09:10:22_28-01-2025: New best reward 19.0 (+5.6%) at episode 1, saving model...
09:10:22_28-01-2025: New best reward 43.0 (+126.3%) at episode 2, saving model...
09:10:22_28-01-2025: New best reward 65.0 (+51.2%) at episode 5, saving model...
09:10:24_28-01-2025: New best reward 67.0 (+3.1%) at episode 162, saving model...
09:10:26_28-01-2025: New best reward 74.0 (+10.4%) at episode 362, saving model...
09:10:27_28-01-2025: New best reward 87.0 (+17.6%) at episode 475, saving model...
09:10:30_28-01-2025: New best reward 91.0 (+4.6%) at episode 637, saving model...
09:10:32_28-01-2025: New best reward 156.0 (+71.4%) at episode 733, saving model...
09:11:00_28-01-2025: New best reward 167.0 (+7.1%) at episode 1690, saving model...
09:11:03_28-01-2025: New best reward 226.0 (+35.3%) at episode 1729, saving model...
09:11:03_28-01-2025: New best reward 291.0 (+28.8%) at episode 1740, saving model...
09:11:11_28-01-2025: New best reward 296.0 (+1.7%) at episode 1855, saving model...
09:11:23_28-01-2025: New best reward 344.0 (+16.2%) at episode 1996, saving model...
09:11:27_28-01-2025: New best reward 402.0 (+16.9%) at episode 2030, saving model...
09:11:29_28-01-2025: New best reward 439.0 (+9.2%) at episode 2048, saving model...
09:11:32_28-01-2025: New best reward 473.0 (+7.7%) at episode 2073, saving model...
09:11:36_28-01-2025: New best reward 487.0 (+3.0%) at episode 2107, saving model...
09:11:44_28-01-2025: New best reward 608.0 (+24.8%) at episode 2163, saving model...
09:12:13_28-01-2025: New best reward 676.0 (+11.2%) at episode 2384, saving model...
09:15:57_28-01-2025: New best reward 1145.0 (+69.4%) at episode 3856, saving model...
09:17:50_28-01-2025: New best reward 1419.0 (+23.9%) at episode 4342, saving model...
09:17:53_28-01-2025: New best reward 2211.0 (+55.8%) at episode 4344, saving model...
09:17:55_28-01-2025: New best reward 2620.0 (+18.5%) at episode 4345, saving model...
09:18:01_28-01-2025: New best reward 8165.0 (+211.6%) at episode 4354, saving model...
09:19:14_28-01-2025: New best reward 100000.0 (+1124.7%) at episode 4408, saving model...
