09:25:06_28-01-2025: Training starting...
09:25:08_28-01-2025: New best reward 16.0 (+nan%) at episode 0, saving model...
09:25:08_28-01-2025: New best reward 53.0 (+231.2%) at episode 1, saving model...
09:25:09_28-01-2025: New best reward 72.0 (+35.8%) at episode 184, saving model...
09:25:10_28-01-2025: New best reward 82.0 (+13.9%) at episode 216, saving model...
09:25:10_28-01-2025: New best reward 84.0 (+2.4%) at episode 254, saving model...
09:25:11_28-01-2025: New best reward 91.0 (+8.3%) at episode 301, saving model...
09:25:13_28-01-2025: New best reward 94.0 (+3.3%) at episode 482, saving model...
09:25:13_28-01-2025: New best reward 104.0 (+10.6%) at episode 508, saving model...
09:25:14_28-01-2025: New best reward 114.0 (+9.6%) at episode 548, saving model...
09:25:15_28-01-2025: New best reward 145.0 (+27.2%) at episode 602, saving model...
09:25:18_28-01-2025: New best reward 161.0 (+11.0%) at episode 692, saving model...
09:25:21_28-01-2025: New best reward 193.0 (+19.9%) at episode 802, saving model...
09:25:23_28-01-2025: New best reward 237.0 (+22.8%) at episode 867, saving model...
09:25:24_28-01-2025: New best reward 263.0 (+11.0%) at episode 892, saving model...
09:25:44_28-01-2025: New best reward 303.0 (+15.2%) at episode 1320, saving model...
09:26:02_28-01-2025: New best reward 367.0 (+21.1%) at episode 1551, saving model...
09:26:21_28-01-2025: New best reward 419.0 (+14.2%) at episode 1753, saving model...
09:26:44_28-01-2025: New best reward 528.0 (+26.0%) at episode 1954, saving model...
09:27:12_28-01-2025: New best reward 539.0 (+2.1%) at episode 2188, saving model...
09:28:14_28-01-2025: New best reward 552.0 (+2.4%) at episode 2681, saving model...
09:29:29_28-01-2025: New best reward 613.0 (+11.1%) at episode 3178, saving model...
09:29:51_28-01-2025: New best reward 793.0 (+29.4%) at episode 3299, saving model...
09:30:24_28-01-2025: New best reward 839.0 (+5.8%) at episode 3463, saving model...
09:31:33_28-01-2025: New best reward 859.0 (+2.4%) at episode 3771, saving model...
09:32:55_28-01-2025: New best reward 977.0 (+13.7%) at episode 4048, saving model...
09:32:59_28-01-2025: New best reward 1015.0 (+3.9%) at episode 4059, saving model...
09:34:14_28-01-2025: New best reward 1074.0 (+5.8%) at episode 4261, saving model...
09:34:19_28-01-2025: New best reward 1120.0 (+4.3%) at episode 4272, saving model...
09:34:27_28-01-2025: New best reward 1141.0 (+1.9%) at episode 4292, saving model...
09:35:03_28-01-2025: New best reward 1337.0 (+17.2%) at episode 4388, saving model...
09:35:49_28-01-2025: New best reward 1348.0 (+0.8%) at episode 4491, saving model...
09:36:13_28-01-2025: New best reward 1705.0 (+26.5%) at episode 4537, saving model...
09:36:15_28-01-2025: New best reward 1868.0 (+9.6%) at episode 4538, saving model...
09:36:40_28-01-2025: New best reward 2342.0 (+25.4%) at episode 4577, saving model...
09:36:48_28-01-2025: New best reward 7510.0 (+220.7%) at episode 4581, saving model...
09:37:24_28-01-2025: New best reward 12421.0 (+65.4%) at episode 4608, saving model...
09:37:58_28-01-2025: New best reward 27045.0 (+117.7%) at episode 4622, saving model...
09:39:41_28-01-2025: New best reward 100000.0 (+269.8%) at episode 4731, saving model...
