08:31:34_27-01-2025: Training starting...
08:31:36_27-01-2025: New best reward 17.0 (+nan%) at episode 0, saving model...
08:31:36_27-01-2025: New best reward 29.0 (+70.6%) at episode 5, saving model...
08:31:36_27-01-2025: New best reward 32.0 (+10.3%) at episode 14, saving model...
08:31:36_27-01-2025: New best reward 38.0 (+18.8%) at episode 18, saving model...
08:31:36_27-01-2025: New best reward 50.0 (+31.6%) at episode 41, saving model...
08:31:36_27-01-2025: New best reward 73.0 (+46.0%) at episode 62, saving model...
08:31:38_27-01-2025: New best reward 85.0 (+16.4%) at episode 368, saving model...
08:31:39_27-01-2025: New best reward 101.0 (+18.8%) at episode 501, saving model...
08:31:41_27-01-2025: New best reward 149.0 (+47.5%) at episode 686, saving model...
08:31:44_27-01-2025: New best reward 181.0 (+21.5%) at episode 894, saving model...
08:31:47_27-01-2025: New best reward 293.0 (+61.9%) at episode 1116, saving model...
08:31:52_27-01-2025: New best reward 328.0 (+11.9%) at episode 1379, saving model...
08:31:55_27-01-2025: New best reward 420.0 (+28.0%) at episode 1464, saving model...
08:31:58_27-01-2025: New best reward 458.0 (+9.0%) at episode 1561, saving model...
08:32:14_27-01-2025: New best reward 467.0 (+2.0%) at episode 1997, saving model...
08:32:16_27-01-2025: New best reward 529.0 (+13.3%) at episode 2033, saving model...
08:32:55_27-01-2025: New best reward 651.0 (+23.1%) at episode 3097, saving model...
08:33:14_27-01-2025: New best reward 784.0 (+20.4%) at episode 3504, saving model...
08:33:22_27-01-2025: New best reward 914.0 (+16.6%) at episode 3626, saving model...
08:33:27_27-01-2025: New best reward 919.0 (+0.5%) at episode 3686, saving model...
08:33:28_27-01-2025: New best reward 1725.0 (+87.7%) at episode 3691, saving model...
08:33:37_27-01-2025: New best reward 1791.0 (+3.8%) at episode 3781, saving model...
08:33:41_27-01-2025: New best reward 1846.0 (+3.1%) at episode 3811, saving model...
08:33:48_27-01-2025: New best reward 1960.0 (+6.2%) at episode 3855, saving model...
08:33:49_27-01-2025: New best reward 2165.0 (+10.5%) at episode 3859, saving model...
08:34:00_27-01-2025: New best reward 2613.0 (+20.7%) at episode 3917, saving model...
08:34:00_27-01-2025: New best reward 2771.0 (+6.0%) at episode 3920, saving model...
08:34:04_27-01-2025: New best reward 2869.0 (+3.5%) at episode 3934, saving model...
08:34:25_27-01-2025: New best reward 3679.0 (+28.2%) at episode 4040, saving model...
08:34:33_27-01-2025: New best reward 5749.0 (+56.3%) at episode 4080, saving model...
08:34:49_27-01-2025: New best reward 5900.0 (+2.6%) at episode 4149, saving model...
08:34:52_27-01-2025: New best reward 7866.0 (+33.3%) at episode 4155, saving model...
08:35:01_27-01-2025: New best reward 7999.0 (+1.7%) at episode 4177, saving model...
08:35:15_27-01-2025: New best reward 26716.0 (+234.0%) at episode 4203, saving model...
08:35:25_27-01-2025: New best reward 29927.0 (+12.0%) at episode 4213, saving model...
08:36:41_27-01-2025: New best reward 53170.0 (+77.7%) at episode 4327, saving model...
08:36:56_27-01-2025: New best reward 54264.0 (+2.1%) at episode 4329, saving model...
08:37:24_27-01-2025: New best reward 100000.0 (+84.3%) at episode 4347, saving model...
