12:46:48_28-01-2025: Training starting...
12:46:50_28-01-2025: New best reward -5.1 (+nan%) at episode 0, saving model...
12:46:54_28-01-2025: New best reward -3.9 (-23.5%) at episode 36, saving model...
12:46:56_28-01-2025: New best reward -0.9 (-76.9%) at episode 57, saving model...
13:03:35_28-01-2025: New best reward 1.5 (-266.7%) at episode 7770, saving model...
13:08:54_28-01-2025: New best reward 1.7 (+13.3%) at episode 9439, saving model...
13:13:56_28-01-2025: New best reward 2.1 (+23.5%) at episode 10994, saving model...
13:14:04_28-01-2025: New best reward 2.3 (+9.5%) at episode 11036, saving model...
13:17:48_28-01-2025: New best reward 3.1 (+34.8%) at episode 12183, saving model...
13:27:08_28-01-2025: New best reward 3.5 (+12.9%) at episode 15007, saving model...
13:31:24_28-01-2025: New best reward 4.4 (+25.7%) at episode 16274, saving model...
13:32:58_28-01-2025: New best reward 5.1 (+15.9%) at episode 16733, saving model...
13:47:44_28-01-2025: New best reward 5.5 (+7.8%) at episode 21093, saving model...
13:48:17_28-01-2025: New best reward 5.5 (+0.0%) at episode 21322, saving model...
13:51:26_28-01-2025: New best reward 6.0 (+9.1%) at episode 22637, saving model...
14:02:15_28-01-2025: New best reward 6.6 (+10.0%) at episode 27244, saving model...
