19:28:45_27-01-2025: Training starting...
19:28:47_27-01-2025: New best reward -7.5 (nan%) at episode 0, saving model...
19:28:47_27-01-2025: New best reward -6.9 (-7.999999999999997%) at episode 1, saving model...
19:28:47_27-01-2025: New best reward -6.3 (-8.695652173913041%) at episode 13, saving model...
19:28:47_27-01-2025: New best reward -4.5 (-28.571428571428587%) at episode 22, saving model...
19:28:50_27-01-2025: New best reward -3.3 (-26.666666666666682%) at episode 294, saving model...
19:28:50_27-01-2025: New best reward -1.5 (-54.545454545454575%) at episode 315, saving model...
19:28:55_27-01-2025: New best reward 3.9 (-360.0000000000002%) at episode 739, saving model...
19:33:01_27-01-2025: New best reward 4.2 (7.692307692307668%) at episode 15419, saving model...
19:33:36_27-01-2025: New best reward 4.7 (11.90476190476187%) at episode 17023, saving model...
19:34:11_27-01-2025: New best reward 4.8 (2.1276595744680793%) at episode 18629, saving model...
19:35:16_27-01-2025: New best reward 6.3 (31.249999999999993%) at episode 21487, saving model...
19:37:53_27-01-2025: New best reward 8.4 (33.33333333333325%) at episode 28024, saving model...
19:38:02_27-01-2025: New best reward 12.9 (53.57142857142851%) at episode 28341, saving model...
19:52:59_27-01-2025: New best reward 13.8 (6.9767441860465%) at episode 60932, saving model...
20:05:30_27-01-2025: New best reward 13.9 (0.7246376811594193%) at episode 86401, saving model...
