11:36:26_28-01-2025: Training starting...
11:36:28_28-01-2025: New best reward -8.1 (+nan%) at episode 0, saving model...
11:36:28_28-01-2025: New best reward -6.9 (-14.8%) at episode 1, saving model...
11:36:28_28-01-2025: New best reward -6.3 (-8.7%) at episode 2, saving model...
11:36:28_28-01-2025: New best reward -5.1 (-19.0%) at episode 3, saving model...
11:36:29_28-01-2025: New best reward -3.9 (-23.5%) at episode 63, saving model...
11:36:31_28-01-2025: New best reward 2.7 (-169.2%) at episode 199, saving model...
11:36:46_28-01-2025: New best reward 3.9 (+44.4%) at episode 754, saving model...
11:37:44_28-01-2025: New best reward 4.2 (+7.7%) at episode 2471, saving model...
11:37:51_28-01-2025: New best reward 4.3 (+2.4%) at episode 2645, saving model...
11:37:53_28-01-2025: New best reward 6.3 (+46.5%) at episode 2694, saving model...
11:38:09_28-01-2025: New best reward 6.5 (+3.2%) at episode 3087, saving model...
11:38:12_28-01-2025: New best reward 6.7 (+3.1%) at episode 3138, saving model...
11:38:37_28-01-2025: New best reward 8.4 (+25.4%) at episode 3769, saving model...
11:38:44_28-01-2025: New best reward 9.1 (+8.3%) at episode 3927, saving model...
11:40:57_28-01-2025: New best reward 10.9 (+19.8%) at episode 7063, saving model...
11:44:44_28-01-2025: New best reward 12.9 (+18.3%) at episode 12451, saving model...
