10:31:30_29-01-2025: Training starting...
10:31:31_29-01-2025: New best reward -985.0 (+nan%) at episode 0, saving model...
10:31:31_29-01-2025: New best reward -975.0 (-1.0%) at episode 1, saving model...
10:31:31_29-01-2025: New best reward -959.0 (-1.6%) at episode 7, saving model...
10:31:31_29-01-2025: New best reward -952.0 (-0.7%) at episode 15, saving model...
10:31:31_29-01-2025: New best reward -943.0 (-0.9%) at episode 16, saving model...
10:31:31_29-01-2025: New best reward -935.0 (-0.8%) at episode 17, saving model...
10:31:32_29-01-2025: New best reward -930.0 (-0.5%) at episode 70, saving model...
10:31:32_29-01-2025: New best reward -923.0 (-0.8%) at episode 144, saving model...
10:31:34_29-01-2025: New best reward -917.0 (-0.7%) at episode 365, saving model...
10:31:35_29-01-2025: New best reward -883.0 (-3.7%) at episode 575, saving model...
10:31:37_29-01-2025: New best reward -859.0 (-2.7%) at episode 778, saving model...
10:31:38_29-01-2025: New best reward -844.0 (-1.7%) at episode 847, saving model...
10:31:41_29-01-2025: New best reward -842.0 (-0.2%) at episode 1030, saving model...
10:31:42_29-01-2025: New best reward -835.0 (-0.8%) at episode 1101, saving model...
10:31:42_29-01-2025: New best reward -810.0 (-3.0%) at episode 1122, saving model...
10:31:43_29-01-2025: New best reward -808.0 (-0.2%) at episode 1139, saving model...
10:31:44_29-01-2025: New best reward -792.0 (-2.0%) at episode 1224, saving model...
10:31:44_29-01-2025: New best reward -540.0 (-31.8%) at episode 1232, saving model...
10:31:50_29-01-2025: New best reward -367.0 (-32.0%) at episode 1475, saving model...
10:31:53_29-01-2025: New best reward -281.0 (-23.4%) at episode 1579, saving model...
10:31:57_29-01-2025: New best reward -218.0 (-22.4%) at episode 1657, saving model...
10:32:00_29-01-2025: New best reward -124.0 (-43.1%) at episode 1719, saving model...
10:32:27_29-01-2025: New best reward -33.0 (-73.4%) at episode 2393, saving model...
10:32:28_29-01-2025: New best reward 2698.0 (-8275.8%) at episode 2403, saving model...
10:32:33_29-01-2025: New best reward 4742.0 (+75.8%) at episode 2474, saving model...
10:32:44_29-01-2025: New best reward 11154.0 (+135.2%) at episode 2521, saving model...
10:34:20_29-01-2025: New best reward 13970.0 (+25.2%) at episode 2909, saving model...
10:34:26_29-01-2025: New best reward 15006.0 (+7.4%) at episode 2911, saving model...
10:34:46_29-01-2025: New best reward 15328.0 (+2.1%) at episode 2930, saving model...
10:36:21_29-01-2025: New best reward 15648.0 (+2.1%) at episode 3095, saving model...
10:36:59_29-01-2025: New best reward 21025.0 (+34.4%) at episode 3164, saving model...
10:40:23_29-01-2025: New best reward 24085.0 (+14.6%) at episode 3444, saving model...
10:40:37_29-01-2025: New best reward 35840.0 (+48.8%) at episode 3447, saving model...
10:43:21_29-01-2025: New best reward 58670.0 (+63.7%) at episode 3530, saving model...
10:47:36_29-01-2025: New best reward 83628.0 (+42.5%) at episode 3799, saving model...
10:48:01_29-01-2025: New best reward 100000.0 (+19.6%) at episode 3801, saving model...
