10:31:32_29-01-2025: Training starting...
10:31:33_29-01-2025: New best reward -991.0 (+nan%) at episode 0, saving model...
10:31:33_29-01-2025: New best reward -959.0 (-3.2%) at episode 7, saving model...
10:31:33_29-01-2025: New best reward -937.0 (-2.3%) at episode 10, saving model...
10:31:34_29-01-2025: New best reward -917.0 (-2.1%) at episode 72, saving model...
10:31:34_29-01-2025: New best reward -912.0 (-0.5%) at episode 112, saving model...
10:31:34_29-01-2025: New best reward -899.0 (-1.4%) at episode 115, saving model...
10:31:34_29-01-2025: New best reward -883.0 (-1.8%) at episode 116, saving model...
10:31:35_29-01-2025: New best reward -865.0 (-2.0%) at episode 120, saving model...
10:31:35_29-01-2025: New best reward -851.0 (-1.6%) at episode 123, saving model...
10:31:35_29-01-2025: New best reward -816.0 (-4.1%) at episode 128, saving model...
10:31:36_29-01-2025: New best reward -811.0 (-0.6%) at episode 161, saving model...
10:31:39_29-01-2025: New best reward -757.0 (-6.7%) at episode 256, saving model...
10:32:14_29-01-2025: New best reward 100000.0 (-13310.0%) at episode 266, saving model...
